run-0001: user_frustration=present, task_failure=absent, forgetting=absent
run-0002: user_frustration=absent, task_failure=absent, forgetting=absent
run-0003: user_frustration=absent, task_failure=absent, forgetting=absent
run-0004: user_frustration=absent, task_failure=present, forgetting=present
run-0005: user_frustration=absent, task_failure=absent, forgetting=absent
run-0006: user_frustration=absent, task_failure=present, forgetting=absent
run-0007: user_frustration=present, task_failure=present, forgetting=absent
run-0008: user_frustration=absent, task_failure=absent, forgetting=absent
run-0009: user_frustration=absent, task_failure=present, forgetting=absent
run-0010: user_frustration=present, task_failure=absent, forgetting=present
run-0011: user_frustration=present, task_failure=present, forgetting=present
